# [Name]                 [Latitude]             [Longitude]            [Power]
#Power is thermal power in GW
#This file is prepared by Linyan Wan 
CHASNUPP-1				32.390278					71.4625					 0.999
CHASNUPP-2				32.390278					71.4625					 0.999
CHASNUPP-3				32.390278					71.4625					 0.999
CHASNUPP-4				32.390278					71.4625					 0.999
BALTIC-1				54.938889					22.161111				 3.200
BELOYARSK-3				56.841667					61.3225					 1.470
BELOYARSK-4				56.841667					61.3225					 2.100
LENINGRAD-1				59.847222					29.043611				 3.200
LENINGRAD-2				59.847222					29.043611				 3.200
LENINGRAD-3				59.847222					29.043611				 3.200
LENINGRAD-4				59.847222					29.043611				 3.200
LENINGRAD2-1				59.847222					29.043611				 3.200
LENINGRAD2-2				59.847222					29.043611				 3.200
NOVOVORONEZH-3			51.275						39.2						 1.375
NOVOVORONEZH-4			51.275						39.2						 1.375
NOVOVORONEZH2-1			51.275						39.2						 3.200
NOVOVORONEZH2-2			51.275						39.2						 3.200
ROSTOV-1				47.599342					42.371878				 3.000
ROSTOV-2				47.599342					42.371878				 3.000
ROSTOV-3				47.599342					42.371878				 3.000
ROSTOV-4				47.599342					42.371878				 3.000
MOCHOVCE-1				48.263889					18.456944				 1.475
MOCHOVCE-2				48.263889					18.456944				 1.475
MOCHOVCE-3				48.263889					18.456944				 1.375
MOCHOVCE-4				48.263889					18.456944				 1.375
BARAKAH-1				23.984936					52.283719				 3.983
BARAKAH-2				23.984936					52.283719				 3.983
KHMELNITSKI-1			50.301406					26.64975					 3.200
KHMELNITSKI-2			50.301406					26.64975					 3.200
KHMELNITSKI-3			50.301406					26.64975					 3.200
KHMELNITSKI-4			50.301406					26.64975					 3.200
KAIGA-1					14.865322					74.439642				 0.801
KAIGA-2					14.865322					74.439642				 0.801
KAIGA-3					14.865322					74.439642				 0.801
KAIGA-4					14.865322					74.439642				 0.801
MADRAS-1				12.5575						80.175					 0.801
MADRAS-2				12.5575						80.175					 0.801
NARORA-1				28.158056					78.409444				 0.801
